"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"39812",27.09,74.9,27.54,21.97,40.73169205,42.13,27.56976871,NA,26.4,21.795723413,50.8,11.805,10.73,24.57849954,33.62,11.97998802,29.3930636,22.96,0.847879266,NA,11.325,32.26,109.55,60.164670081,25.045,51.15519928,19.22,38.62765606,NA,4.16
"39815",27.79,77.45,28,22.345,42.10942505,42.4,29.76490638,NA,28,22.867644237,53.81,11.68,11.06,26.08724398,34.14,12.08665458,30.6934784,24.12,0.91385515,NA,11.67,32.98,112.2,62.492215347,26.215,54.2173404,20.08,39.9596442,NA,4.64
"39818",27.89,77.18,27.66,21.965,42.16847075,43.54,29.3974384,NA,26.8,22.4559645,55.5,11.565,11.41,26.78898558,34.21,11.80332153,30.7949292,23.7,1.0253009,NA,11.83,33.2,111.25,64.9527632,26.31,53.41304384,19.9,41.748882,NA,4.8
"39819",29.25,73.44,27.6,21.83,43.5166809,44.01,29.50381071,NA,27.65,21.694745365,56.85,11.65,11.275,26.42057124,33.89,11.87332146,29.05182,24.44,1.04759005,NA,11.735,33.4,109.5,64.126247126,26.85,54.61464352,20.57,43.6375219,NA,4.42
"39820",28.79,70.3,26.39,21.995,43.0049515,42.76,28.80755559,NA,27.38,21.069458218,55.85,11.3,10.86,25.29778468,33.67,11.36998863,29.9187632,24.14,1.05650571,NA,11.43,33.95,110.1,62.511215717,26.8,53.29676,19.2,40.10874735,NA,4.48
"39821",28.38,66.65,26.58,21.88,43.3198619,41.43,29.977651,NA,27.11,19.978118538,54.3,10.89,10.855,25.3504153,33.4,11.01665565,30.2784524,24.53,0.93168647,NA,11.305,34.53,111.05,62.634718118,27.12,51.4071476,18.7,40.3572526,NA,4.33
"39822",27.85,71.05,25.66,22.485,43.3789076,40.84,28.67217265,NA,27.225,18.797452124,50.14,10.46,10.72,24.55218423,33,11.23998876,30.988608,23.42,0.848770832,NA,11.2,34.45,113.06,60.345173591,27.41,49.36249008,18.44,41.2518715,NA,4.34
"39825",26.87,72.5,25.42,22.2,43.3395438,40.23,27.95657711,NA,26.88,18.99552445,48.24,10.365,10.56,24.28025936,33.15,11.1666555,31.449748,23.47,0.808650362,NA,10.92,33.15,115.25,58.435636455,26.84,47.8701808,18.42,39.24394908,NA,4.26
"39826",27,69.8,25.43,21.155,43.1427248,40.46,25.9161628,NA,25.88,18.603263569,49.8,9.805,10.525,23.9469321,33.45,11.37332196,30.5828048,22.36,0.825590116,NA,10.89,33.145,113.75,58.568639041,27.4,46.9011488,17.51,38.1704064,NA,3.99
"39827",25.36,66.98,24.18,20,42.73924585,40.29,23.72102513,NA,24.82,17.197338431,47,9.4,10.24,22.806602,32.82,11.6333217,26.0820784,21.18,0.794385306,NA,10.51,33.1,112.5,57.191112251,26,41.44549864,16.5,37.64357527,NA,3.92
"39828",25.55,64.38,23.23,19.665,42.0405384,40.26,18.9536116,NA,23.87,16.350676331,44.3,9.59,10.07,22.2802958,33.29,11.4999885,26.5708868,20.89,0.755156402,NA,10.37,32.78,106.74,56.725603198,26.08,41.99784688,16.5,37.772798,NA,3.94
"39829",25.92,65.41,23.64,19.665,42.119266,39.54,17.68681409,NA,23.82,15.348663387,44,9.39,9.98,22.05222978,32.86,11.2666554,29.1071568,20.95,0.649060048,NA,10.65,31.695,111.7,56.412097101,26.785,41.8621824,16.64,37.0769833,NA,4
"39832",24.68,63.64,22.68,19.09,42.0995841,40.19,17.10660149,NA,23.28,14.094205322,43.4,9.44,10.205,22.04345801,34,11.85998814,27.483944,20.84,0.736433516,NA,10.345,32.89,108.3,57.238613175,26.505,42.32731776,16.9,36.9775812,NA,3.79
"39833",24.9,60.06,22.81,18.555,41.2926262,40.4,16.62309099,NA,22.93,13.259194535,40.25,8.985,10.41,21.96451208,33.56,11.81998818,26.2942028,20.56,0.65530101,NA,9.98,32.325,105.65,57.476117794,25.95,41.60054376,16.73,36.778777,NA,3.77
"39834",25.77,60.88,23.08,18.95,41.9421289,40.98,17.67714388,NA,22.98,13.888365454,40.28,9.17,10.33,21.929425,33.68,11.1999888,27.1334776,21.05,0.67313233,NA,9.93,32.395,102.39,57.286114099,26.68,43.42232392,17.23,37.89208052,NA,3.94
"39835",26.28,63.35,22.69,18.31,41.4500814,40.01,17.09693128,NA,21.58,13.973808418,39.26,8.93,10.15,21.35048818,33.5,11.24998875,28.037312,20.75,0.63301186,NA,9.8,32.21,101,56.136591743,26.93,42.2497952,16.7,35.52631054,NA,4.05
"39836",25.99,61.35,22.3,17.7,42.46369925,38.49,16.9228675,NA,21.19,13.399010295,39.7,8.76,10.22,22.05222978,34.15,11.1666555,25.9345136,20.16,0.599132352,NA,9.35,35.155,99.75,57.010608741,26.15,40.97067296,16.62,33.9955182,NA,4.02
"39839",27.65,63.84,22.03,18.36,42.26688025,39.28,13.84774072,NA,21.085,13.709711983,40.01,9.3,10.24,22.93817855,34.61,11.97332136,27.299488,20.06,0.573276938,NA,9.34,35.095,103.55,58.122130358,25.95,41.92032432,15.78,32.802693,NA,4.56
"39840",27.64,63.74,22.24,18.61,41.38119475,39.69,13.538294,NA,22.1,14.129159262,39,9.405,10.07,23.00835271,34.48,12.1333212,27.1795916,20,0.60626488,NA,9.615,34.38,103.95,58.264633129,26.23,43.61613032,15.95,34.80067521,NA,4.65
"39841",28.64,70,23,19.04,42.2373574,39.66,13.89609177,NA,23.55,17.360456817,42.35,10.15,10.135,23.04343979,34.53,12.1666545,29.466846,20.24,0.6686745,NA,10.035,34,109.85,59.309653453,27.75,45.02122672,16.9,37.90202073,NA,4.76
"39842",27.56,68.06,23.35,18.32,41.67642325,39.15,12.90973035,NA,22.35,15.962299221,40.54,9.685,9.7,22.27152403,34.63,11.90998809,28.959592,20.05,0.627662464,NA,9.68,33.425,107.8,58.036628695,27.7,43.4610852,16.43,37.62369485,NA,4.22
"39843",27.24,66.04,22.88,18.645,41.08596625,38.33,13.48994295,NA,22.01,15.92346151,39.56,9.8,9.53,22.28906757,35,12.62998737,27.945084,20.21,0.626770898,NA,9.57,33.235,103.8,58.112630173,27.95,42.637408,15.99,38.3692106,NA,4.42
"39846",27.2,63.92,22.31,17.84,41.57801375,38.23,12.77434741,NA,21.3,15.092334495,38.36,9.265,9.5,21.78030491,35,12.5333208,27.1427004,19.89,0.600023918,NA,9.385,32.415,102.51,57.086610219,27.55,41.93970496,15.77,36.23206545,NA,4.44
"39847",27.48,64.58,22.5,18.075,42.1783117,38.5,13.57697484,NA,21.45,15.946764137,37.39,9.635,10.01,22.1925781,35.35,12.666654,27.6960684,20.19,0.596457654,NA,10.125,33.795,106.5,58.768142921,27.945,42.2982468,15.95,35.83445705,NA,4.5
"39848",28.25,65.69,23.98,19.13,41.71578705,37.11,13.3448898,NA,22.73,16.273000909,38.45,9.86,10.14,22.50836182,34.75,12.3666543,28.313996,20.29,0.590216692,NA,10.455,34.2,103.55,58.901145508,28.26,43.66458192,17.18,36.70919553,NA,4.45
"39849",28.67,67.51,24.15,19.475,42.2176755,35.8,13.2481877,NA,22.72,16.078812354,40.29,9.99,10.09,23.11361395,35.8,12.5999874,28.175654,20.2,0.639252822,NA,10.485,34.85,109.25,59.756162136,29.14,45.3506976,17.76,36.2817665,NA,4.32
"39850",29.14,68.6,26.2,21.8,43.30018,35.81,14.03147471,NA,24.71,16.886636743,42.27,10.38,10.085,23.01712448,34.6,12.666654,28.5168976,20.37,0.718602196,NA,10.845,34,110.01,60.041167679,29.63,48.19965168,18.75,37.32548855,NA,4.45
"39853",29.2,71.6,26.14,22.88,43.15256575,36.52,14.9888255,NA,25.59,17.880882144,41.08,10.715,9.77,22.13994748,33.64,12.7666539,28.5999028,20.49,0.758722666,NA,10.825,34.04,109.6,58.853644584,29.755,47.24031,18.91,39.02526446,NA,4.73
"39854",28.6,66.8,24.67,22.125,42.0799022,35.61,15.23058075,NA,23.78,16.855566574,38.3,10.2,9.54,21.28908579,33.55,12.7999872,27.7514052,19.81,0.688288952,NA,10.295,34.255,105.2,57.732622783,28.6,44.73051712,17.93,35.59589201,NA,4.59
"39855",28.22,65.9,24.6,22.495,42.8671782,36.26,15.7624423,NA,24.35,17.010917418,38.45,10.19,9.59,21.21891163,34.68,12.65998734,27.714514,20,0.680264858,NA,10.37,34.2,103.8,58.02712851,28.68,45.302246,18.18,36.31158713,NA,4.55
"39856",27.34,64.88,24.03,22.725,42.4538583,35.63,14.74707025,NA,23.615,17.298316479,38.2,10.205,9.6,20.6136595,34.88,12.54665412,26.1650836,19.97,0.649951614,NA,10.19,33.9,102.4,55.614081581,28.35,44.49794944,17.55,34.92989794,NA,4.92
"39857",27.05,64.7,24.62,23.61,42.44401735,35.29,15.71409125,NA,24.175,17.748833927,38.16,10.22,9.65,20.14875569,34.7,12.61332072,26.6723376,20.2,0.64638535,NA,10.26,32.945,104.45,54.303056085,28.81,44.88556224,17.65,37.772798,NA,4.8
"39860",26.6,63.5,24.41,23.345,42.64083635,35.33,14.2152087,NA,23.515,16.622540308,38.06,10,9.715,19.7364825,34.85,12.71998728,27.852856,19.93,0.616072106,NA,10.08,32.915,105.56,53.11553299,28.425,44.1394076,17.73,37.63363506,NA,4.8
"39861",26.2,59.14,23.18,21.705,41.3516719,35.01,13.0547835,NA,22.52,15.597224738,37.55,9.56,9.39,19.35052462,34.5,12.94665372,25.1505756,19.49,0.605373314,NA,9.9,31.54,100.47,52.792526708,28.29,43.08316272,16.9,36.2817665,NA,4.67
"39862",25.84,57.07,23.2,21.64,41.8240375,34.98,12.62929426,NA,21.685,15.5350844,38.53,9.3,9.61,19.20140453,34.08,12.666654,24.1914044,19.09,0.59289139,NA,9.68,32.25,101.1,52.393518948,27.93,43.00564016,16.73,38.10082493,NA,4.65
"39863",25.58,57.5,22.89,21.975,41.49928615,34.9,12.7646772,NA,21.9,15.5350844,38.55,9.23,9.5,19.69262365,33.95,12.7666539,24.348192,19.02,0.55722875,NA,9.74,31.33,104.8,53.486040195,27.05,42.82152408,16.65,38.04118367,NA,4.6
"39864",25.13,52.31,21.86,21.375,40.04282555,34.07,12.90973035,NA,20.29,14.05148384,36.97,8.74,9.385,19.0347409,33.89,13.2333201,22.4390724,18.74,0.534048034,NA,9.395,31.35,97.2,51.025492343,25.94,40.23420864,15.35,36.3811686,NA,4.46
