"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94"
"X__2",1.77231090950491,8.06016397677294,16.176798057656,4.45228174225915,0.447320903599479,7.63846221351158,29.3714567579822,4.08082227845139,3.94217895745272,1.48272634752927,0.43505901316969,18.8345643620833,12.0335027422139,5.50387825247546,4.77710076625484,1.41468505652982,6.17355165201621,2.32031369293999,15.7896431235465,2.7833300668412,NA,3.83250348105413,14.7331493673488,0.508042249824587,9.28699377325335,10.0555646399789,NA,2.87411566056932,NA,4.5202954469,2.3882826743218,13.2517818151479,NA,2.11888849073438,1.62927826711315,3.93311423887508,6.03637985460385,19.3577467054745,2.00351841336071,NA,NA,8.20349914437408,0.371567348328448,3.43730799608021,11.9115364579673,NA,1.39632491391672,8.73070827217181,0.803608079448889,0.644269718174771,4.91565869343142,2.12248728837803,2.03981586235538,6.4587178494703,10.1879642429035,NA,NA,10.5070502648947,6.70719764227523,2.01288824994524,NA,4.32573252927871,5.02274733868043,26.3656672358014,5.28937349168507,0.460400462184259,12.8796501928244,2.93405653269767,6.41377124876198,1.77927779874843,8.97780901259306,0.755475303856898,4.43702542051214,12.5354489476532,18.75,NA,4.58830915154086,9.06938878575492,1.815,9.53007022976576,12.4871754255472,1.86252914247269,8.3955009375044,2.15370166012011,0.090620264005858,3.76691287241667,9.11906824530868,NA,16.5220984042942,6.55547476269178,1.45790929612697,9.59516417779468,2.83119564529991,4.21161786429919
"X__3",1.83468278182533,7.97363907618209,17.8869674392936,4.93487720750552,0.470985099337748,7.74508830022075,29.2429415011038,4.09233719646799,3.93795874724062,1.51791298770971,0.450712617594178,19.5197157836645,13.069100222357,5.78526697019868,5.07751578271661,1.47993984547461,6.34259933774834,2.41249034216336,16.7147378587196,2.7474130794702,NA,3.93099704269964,14.9976216297179,0.538361275933057,9.50583167604242,10.2151434878587,NA,2.93896778312006,NA,4.56070571192053,2.54209731417176,13.0694388643695,NA,2.18484754415011,1.74304523343627,3.93412486722022,6.22034575644592,19.875571192053,2.17086644765143,NA,NA,8.38876793598234,0.390362840231018,3.52192190949227,12.4695236152212,NA,1.4308248620298,8.99844856188984,0.80800110375276,0.66489352807934,5.15794736818433,2.18482058176033,2.16301074913907,6.52176991674476,10.4545379507595,NA,NA,10.4236687421086,6.88161561810155,2.19743817789311,NA,4.3632040763245,5.33931158899007,26.6895660036893,5.46342715231788,0.465751931567329,14.6468011246358,3.01572549163578,6.50368356815673,1.82265801117272,9.158043598234,0.768229028697572,4.70319768285664,12.4444729580574,19.685,NA,4.67845198675497,9.60987203280215,1.79,9.72148965808426,12.3569617077373,1.98860375275938,8.3448729126612,2.1755843198141,0.100715054686606,3.82230573951435,9.37783664459161,8.385,16.9659299116998,6.51529387417219,1.45828391134784,9.73369205298013,2.85971185095967,4.29904732339956
"X__4",1.90065030059527,8.23109765167306,18.4969275089658,4.94836027985184,0.510502234111353,7.75207096243165,29.1607519548474,4.17855532365218,4.24608207419601,1.60684609263449,0.489331009219344,19.9338967605385,13.1742122486719,6.05039684872714,5.08032421601652,1.5212426362514,6.6068172732083,2.59032615086131,17.3300652595685,2.9603727438415,NA,4.16433295397801,15.8603027499944,0.585176210388174,10.259643822399,10.6854330060556,NA,2.96238482781765,NA,4.68095434769828,2.73407757140278,13.241099728676,NA,2.21487741783762,1.79932592767503,4.03129129465615,6.39294702427421,20.0527438414957,2.37747683607038,NA,NA,8.83249897113293,0.415032040407139,3.48167925803986,12.5913425015959,NA,1.4951801196543,9.17153858252488,0.82112528661297,0.663659341081055,5.62306045254277,2.34721310450587,2.23285159105885,6.87372396436406,10.6169367092474,NA,NA,10.7844703970232,7.07680345699336,2.38825574577378,NA,4.42633722849918,5.51171110979482,28.279985724032,5.85591980716091,0.491594743959081,15.4767459008008,3.27789726373999,6.54104170198953,1.93878672253727,9.21064877417838,0.80491886648245,4.99880842226538,13.1488088658945,20.075,NA,5.01858810041743,10.0577220574217,1.91,9.95410397766231,13.253900445246,2.0771228467282,9.14435382943916,2.21555646163342,0.100501447435288,3.8971038273855,9.45374507613616,8.59,17.2760438591334,6.87152213534011,1.57089152906352,10.1398168616615,2.91293103008433,4.48647730613205
"X__5",2.35497645463912,8.64731951302968,20.2432691561446,5.46137324258977,0.546966060714606,8.16029163308558,30.8510957881854,4.60224978358855,4.31219202411868,1.66684008405492,0.546394700376426,20.0001731291603,14.2396033807215,6.12712486194442,5.71306938821886,1.58343912122026,6.54149308975852,2.71549311960837,18.2874511208621,3.06079997612012,NA,4.1677924166818,17.3302242015458,0.563062271298189,10.8165401533086,10.6023017223366,NA,3.05949098432489,NA,4.74589743589744,2.77428145643644,13.8361733623772,NA,2.25140070445658,1.85085471328754,3.90912653066472,6.3336131576735,20.3979666278619,2.35203257679114,NA,NA,9.12162592161428,0.414592848355182,3.59395376257425,12.395019536601,NA,1.62855514049109,10.0606957218771,0.857465986089967,0.64256377948265,6.16816915094117,2.49188164691418,2.16994446342856,7.08976626292611,12.2117635471398,NA,NA,10.781704250938,7.17133279603594,2.44484452595278,NA,4.70515629869616,5.47591458393481,29.4302848703173,5.90060356407271,0.50829169278529,17.5902341241587,3.33161185292395,7.12619181411809,2.0171110708309,9.93378764812991,0.848626130563267,5.58666163622803,13.5028793170353,20.565,NA,5.44203605862512,10.5135566613077,1.98,10.3077839426901,13.6851351599051,2.1547147846333,10.1222289326427,2.54738664143087,0.108101944025983,3.92710581773678,9.74594071818752,8.625,17.7018106922181,6.87851258171398,1.63705113310748,10.7846237425748,3.00580145865066,4.54700068654667
"X__6",2.50224845620268,8.58568580381461,19.1215716940931,5.02426224367983,0.557019697175756,8.07539998791121,30.5501748341569,4.46447130422957,4.31205297913172,1.73870035777923,0.589283903048306,19.4430357979358,13.1421078481947,5.80575256509059,5.602657197617,1.55743815827251,6.52904679873672,2.79618345497681,17.2149570092328,2.99294165646675,NA,3.98040704351751,17.2127926556701,0.575510994298494,11.9016557485059,10.5030082203787,NA,3.12354582043998,NA,4.71111186666062,2.81335765711059,14.0113378664294,NA,2.23085003097753,1.80338765367865,3.98283593693021,6.21127784717288,20.1746437584055,2.30348943764373,NA,NA,9.36679888783112,0.396106358322104,3.57767377638757,12.1348230728648,NA,1.54169416336062,10.0374653138494,0.886797527842,0.671150460915414,5.82019871851852,2.55477797887448,2.24843646747118,6.66717380876893,12.0109886817788,NA,NA,10.7331198268948,7.03895537724587,2.59648400851257,NA,4.61834926757457,5.27790872828022,29.036352482095,5.86394865285522,0.50990857850915,16.5930952088998,3.24261516610798,7.28170223343156,2.00689580702257,9.57187081614458,0.832481179261677,5.43315992282648,12.9361589373952,20.065,NA,5.26258907928737,10.6501363659092,2.069,10.2571814837668,12.598199545992,2.02854934493857,9.35142512901375,2.5978461143511,0.113779219308481,3.99391436601841,9.69934796077187,8.505,17.281466823821,6.63989648971697,1.58614626958887,10.5750605195158,3.0153629713337,4.43398763921
"X__7",2.43265703830026,9.4010910187457,18.025086884946,5.10877385525273,0.580290073775989,8.10184897262362,30.3416742881532,4.67286217303823,4.33968126943479,1.81586970918237,0.601947723091662,19.8353697945247,12.7525216972212,5.90840802390098,5.42465827752424,1.5215261264557,6.33043716846534,2.61269358575697,16.7367873910127,2.99862813243095,NA,3.94362604517682,17.2022745155209,0.578384086761996,11.8189980166658,10.4785394183282,NA,3.24377450759019,NA,4.71173327845863,2.75533033261812,14.0708090162947,NA,2.22953554661301,1.81215962563965,3.94129052014245,6.19646400541735,20.7460642643741,2.27548245407642,NA,NA,9.21800499969514,0.394378577021398,3.65110740198768,12.0077815089426,NA,1.49192828519846,9.90058183137651,0.849611304188769,0.696847859475669,6.07166834367722,2.45997415868365,2.16238755560027,6.87026426647684,11.8937647773148,NA,NA,10.7036891254421,6.79689043351015,2.72463002098375,NA,4.27988296872828,5.4606038713615,29.9599240493872,5.87508993354064,0.510877385525273,15.8722931179806,3.24877601229868,7.09836051143223,2.05181172091202,9.98432107798305,0.817403816840437,5.24328458261035,13.2161758429364,20.285,NA,5.27258779952442,10.4419534896653,2.16,10.3379398583795,12.8835086043321,2.06016858728126,8.75815819075168,2.56883259427922,0.124682463850213,4.01038747637339,9.50120876775806,8.15,17.5697396500213,6.76912535820987,1.56800819724941,10.5951527345894,2.97820165408986,4.45907109322602
"X__8",2.44811045192149,9.26921797989352,16.8204735756325,5.21547569929009,0.581378784661125,8.09979180571567,30.9767647594199,4.7526304532492,4.37162979339846,1.86662703883472,0.6370046636314,20.9070584309205,12.8822488675796,5.85894348037134,5.36432524592538,1.55448269219101,6.42903335659244,2.5315377176749,17.1478519203932,2.9972051908258,NA,3.96048534460426,17.5294706343892,0.578863353991879,12.0136164786093,10.4535292154602,NA,3.2944222784344,NA,4.63691914173897,2.6662675391652,14.3470285243455,NA,2.25495946089436,1.8148315577876,4.32443883652533,6.18290722384048,21.1441255081609,2.29978515626748,NA,NA,9.00854893513743,0.383224161786128,3.6717174701171,11.8299544786993,NA,1.5722897666931,9.86929285885055,0.882792640009708,0.725423805245646,5.90648026101086,2.60977761738196,2.26550065977277,6.88152101623639,12.1811253504029,NA,NA,10.9981107619528,6.82978960621321,2.74822790007667,NA,4.285929000752,5.82475657903009,29.8243354462962,6.03956601541169,0.493889744250956,15.2010742412354,3.30227223844415,7.41566973022571,2.02913897040516,9.71975016685881,0.812801407681573,5.15519949809415,13.0725559735453,20.21,NA,5.39327600722044,10.4922791726153,2.23,10.2647159815406,13.1177956532287,2.1731148747042,8.95930888675826,2.55649424388811,0.153893176925854,4.09900265457193,9.821350342819,8.02,17.588119349554,6.77898951823312,1.5564858463854,10.5833516625205,3.06811430646272,4.59176350797888
"X__9",2.29112119120307,9.1860634075213,16.0922440688019,4.71066896500593,0.573930827402135,7.92412707591934,30.5985536773428,4.82989131079478,4.21991651838672,1.89118261070736,0.660390224031919,20.4507912218268,12.2418063359185,5.64503944246738,5.20110185137663,1.4927746737841,6.24392378410439,2.34840295077106,16.6024048042705,2.93065161625148,NA,3.88200419950764,16.3926102657572,0.577572739459647,11.7546354574711,10.3640262455516,NA,3.25009407606329,NA,4.5748109430605,2.62764926825645,14.269764433919,NA,2.21531754151839,1.84431524092962,4.07982779041151,6.17327478462782,20.9831328588375,2.37792823736511,NA,NA,8.86127016607355,0.38887157151064,3.50180983096086,11.7142232631158,NA,1.53478263959668,9.43958181905967,0.866164205219454,0.762530809061639,5.76178134239858,2.50628235075628,2.15935419532977,6.7455323820476,11.6573194580362,NA,NA,10.6140441753405,6.62654433570581,2.78116717748339,NA,4.31515944641281,5.92711285833333,29.5385031618698,5.81139620403322,0.482434608540925,14.723118250242,3.12371913374071,7.29022563965851,2.02452820304416,9.03871737841044,0.802948635824437,5.02173228117857,12.6763852313167,19.75,NA,5.30678069395018,10.248086379294,2.31,10.0898256914856,13.050315305694,2.15986528766311,8.89841668224295,2.62738220735163,0.177867944889855,3.88498490510083,9.85386551008304,7.84,17.1347464412811,6.59327298339265,1.53746064924715,10.1533076809015,2.94993188110714,4.41677201957295
"X__10",2.18631504075211,8.97636846833894,15.7031282081025,4.50544616187687,0.543950207348548,7.63728068903518,30.230444856886,4.39555723109938,4.21973494185541,1.68404194554714,0.607021330395072,19.790996433025,12.3347970645074,5.66477438157933,4.88942695383551,1.43954499318505,6.09883565815039,2.42579814691297,16.2635617550677,2.96700113099208,NA,3.83768065010446,16.0030103355641,0.55995766688457,11.2682315920064,10.2416483484616,NA,3.33072825609756,NA,4.48896282226024,2.59268222911921,14.0199129723661,NA,2.16481193631645,1.79833571641216,3.88757244668656,6.12871489798451,20.4393411246121,2.28993295027944,NA,NA,8.70320331757678,0.375493758838038,3.46699576602964,11.492711879324,NA,1.49357243544645,8.88025781139036,0.805485862598962,0.714199740926877,5.66852994567758,2.47035720769356,2.04495533227271,6.50526396404851,11.7683193739127,NA,NA,9.69522021045955,6.59883029318795,2.76260016866215,NA,4.0465921952884,5.45639945261549,29.6009698089807,5.91202447582867,0.450544616187687,14.116241059641,3.13414789536874,6.97471873241742,1.98510488303087,8.70320331757678,0.762079734941855,4.79652595055711,12.4723936432445,19.88,NA,5.25269089116376,10.0950496797129,2.26,9.81555926532656,13.0062404315306,2.11536191746658,8.41387218127628,2.53893944211114,0.133941768480782,3.86369480613636,9.56033697764116,7.695,17.5053066728533,6.49443580894934,1.52944006340954,9.75264260650175,2.90700444908855,4.37907389148276
"X__11",1.96513684965171,8.70753305162862,14.3172145147187,4.21045693675313,0.503815359953366,7.47418391139609,29.9853185660157,4.06374147478869,4.02775466336345,1.4534719533782,0.537668785887778,19.2557123287671,11.3662368560577,5.41186279510347,4.56897812555465,1.4140048673856,6.27277805304576,2.32806987758671,15.7234683765666,2.92323637423492,NA,3.76384693917492,14.9962684426019,0.54294465400208,11.02992848111,10.0873800641212,NA,3.27207213194893,NA,4.55648396968814,2.71413707820375,13.6357659836331,NA,2.10384436024483,1.82540185717196,3.93258132812954,5.68102138982658,20.0972500728651,2.19550389618472,NA,NA,8.56486111920723,0.348687568597654,3.44089281550568,11.022227749779,NA,1.44150258709263,8.14559491733927,0.777315126785194,0.634164195630812,5.34975594762664,2.38203009302225,2.07647330082658,6.30516567974565,11.8283274769189,NA,NA,9.45470175722403,6.4610167589624,2.71881149953595,NA,3.67086198297115,4.48670350492743,28.7016131066546,5.95166496648208,0.470596764791606,12.623326595255,2.94755774717527,6.98378399736389,1.89948511886833,7.95585354124162,0.756830326435442,4.28190172997713,12.4680460507141,18.945,NA,5.1571868988633,9.58658542604605,2.13,9.65176994503948,13.0513379404413,2.14259938793355,7.56942938712094,2.3919217449935,0.110103261897549,3.83785502768872,9.50051821626348,7.265,17.0965036432527,6.36689740600408,1.50949453836274,9.35103453803556,2.87042023621658,4.22983445059749
